FID,knooppuntnummer,regio,provincie,puntid,last_edited_date,soort_knooppunt,wkb_geometry
wandelknooppunten_vrij_wgs84.76,29,"Duin, Horst en Weide",Zuid-Holland,177708,2019-11-20T11:13:34,knooppunt,POINT (4.383407276000071 52.155220229000065)
wandelknooppunten_vrij_wgs84.77,36,"Duin, Horst en Weide",Zuid-Holland,177707,2019-11-20T11:13:34,knooppunt,POINT (4.4343658490000735 52.15228154600004)
wandelknooppunten_vrij_wgs84.78,27,"Duin, Horst en Weide",Zuid-Holland,177706,2019-11-20T11:13:34,knooppunt,POINT (4.362526394000042 52.16076336900005)
wandelknooppunten_vrij_wgs84.79,24,"Duin, Horst en Weide",Zuid-Holland,177705,2019-11-20T11:13:34,knooppunt,POINT (4.354425607000053 52.16503087700005)
wandelknooppunten_vrij_wgs84.80,23,"Duin, Horst en Weide",Zuid-Holland,177704,2019-11-20T11:13:34,knooppunt,POINT (4.348918683000022 52.16255036700005)
wandelknooppunten_vrij_wgs84.81,22,"Duin, Horst en Weide",Zuid-Holland,177703,2019-11-20T11:13:34,knooppunt,POINT (4.354312890000074 52.15993683000005)
wandelknooppunten_vrij_wgs84.82,21,"Duin, Horst en Weide",Zuid-Holland,177702,2019-11-20T11:13:34,knooppunt,POINT (4.355663012000036 52.15449546900004)
wandelknooppunten_vrij_wgs84.83,48,"Duin, Horst en Weide",Zuid-Holland,177701,2019-11-20T11:13:34,knooppunt,POINT (4.428720440000063 52.11003206300006)
wandelknooppunten_vrij_wgs84.84,64,"Duin, Horst en Weide",Zuid-Holland,177700,2019-11-20T11:13:34,knooppunt,POINT (4.288040628000033 52.09985741600008)
wandelknooppunten_vrij_wgs84.85,76,"Duin, Horst en Weide",Zuid-Holland,177699,2019-11-20T11:13:34,knooppunt,POINT (4.362232647000042 52.07747060500003)
wandelknooppunten_vrij_wgs84.86,27,"Duin, Horst en Weide",Zuid-Holland,177698,2019-11-20T11:13:34,knooppunt,POINT (4.316100473000063 52.096389352000074)
wandelknooppunten_vrij_wgs84.87,61,"Duin, Horst en Weide",Zuid-Holland,177697,2019-11-20T11:13:34,knooppunt,POINT (4.406175040000051 52.07758867600006)
wandelknooppunten_vrij_wgs84.88,54,"Duin, Horst en Weide",Zuid-Holland,177696,2019-11-20T11:13:34,knooppunt,POINT (4.288741561000052 52.117864103000045)
wandelknooppunten_vrij_wgs84.89,56,"Duin, Horst en Weide",Zuid-Holland,177695,2019-11-20T11:13:34,knooppunt,POINT (4.301412414000026 52.101811575000056)
wandelknooppunten_vrij_wgs84.90,64,"Duin, Horst en Weide",Zuid-Holland,177694,2019-11-20T11:13:34,knooppunt,POINT (4.39852729100005 52.08036604200004)
wandelknooppunten_vrij_wgs84.91,22,"Duin, Horst en Weide",Zuid-Holland,177693,2019-11-20T11:13:34,knooppunt,POINT (4.350109898000028 52.08477542600008)
wandelknooppunten_vrij_wgs84.92,58,"Duin, Horst en Weide",Zuid-Holland,177692,2019-11-20T11:13:34,knooppunt,POINT (4.281541291000053 52.11418457900004)
wandelknooppunten_vrij_wgs84.93,58,"Duin, Horst en Weide",Zuid-Holland,177691,2019-11-20T11:13:34,knooppunt,POINT (4.3096746600000415 52.098697224000034)
wandelknooppunten_vrij_wgs84.94,32,"Duin, Horst en Weide",Zuid-Holland,218199,2020-02-17T10:11:27,knooppunt,POINT (4.4121101300000305 52.07234839300003)
